brand,model,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,max_torque_rpm,selling_price
maruti,swift,2014,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,190.0,5.0,2000.0,450000
skoda,rapid,2014,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,250.0,5.0,2500.0,370000
hyundai,i20,2010,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,219.74,5.0,2750.0,225000
maruti,swift,2007,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,112.82,5.0,4500.0,130000
hyundai,xcent,2017,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,113.75,5.0,4000.0,440000
maruti,wagon,2007,175000,LPG,Individual,Manual,First Owner,13.0,1061.0,57.5,76.52,5.0,4500.0,96000
maruti,800,2001,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,59.0,4.0,2500.0,45000
toyota,etios,2011,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,170.0,5.0,2400.0,350000
ford,figo,2013,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,160.0,5.0,2000.0,200000
renault,duster,2014,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,248.0,5.0,2250.0,500000
maruti,zen,2005,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,78.0,5.0,4500.0,92000
maruti,swift,2009,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,190.0,5.0,2000.0,280000
maruti,swift,2007,80000,Petrol,Individual,Manual,Second Owner,,,,,,,200000
maruti,wagon,2009,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,84.0,5.0,3500.0,180000
mahindra,kuv,2016,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,115.0,5.0,3600.0,400000
hyundai,i20,2012,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,219.74,5.0,2750.0,500000
maruti,alto,2002,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62.0,5.0,3000.0,150000
hyundai,i20,2016,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7,5.0,2750.0,680000
mahindra,verito,2011,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,160.0,5.0,2000.0,174000
honda,wr-v,2017,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,200.0,5.0,1750.0,950000
maruti,swift,2015,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190.0,5.0,2000.0,525000
maruti,sx4,2012,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,200.0,5.0,1750.0,600000
maruti,baleno,2016,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115.0,5.0,4000.0,575000
maruti,alto,2017,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,69.0,5.0,3500.0,275000
chevrolet,enjoy,2013,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,172.5,7.0,1750.0,300000
maruti,wagon,2009,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,84.0,5.0,3500.0,220000
maruti,omni,2018,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,59.0,8.0,2500.0,254999
maruti,vitara,2017,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200.0,5.0,1750.0,670000
fiat,palio,2003,50000,Petrol,Individual,Manual,Second Owner,,,,,,,70000
maruti,omni,2012,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,59.84,5.0,3000.0,150000
maruti,vitara,2017,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200.0,5.0,1750.0,650000
maruti,alto,2019,10000,CNG,Individual,Manual,Second Owner,25.0,796.0,40.3,60.0,4.0,3500.0,330000
maruti,alto,2019,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,90.0,5.0,3500.0,366000
hyundai,verna,2019,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,151.0,5.0,4850.0,1149000
datsun,go,2016,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,104.0,5.0,4000.0,150000
tata,safari,2011,60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,320.0,7.0,2700.0,425000
maruti,800,2012,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,59.0,4.0,2500.0,150000
jeep,compass,2019,5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,250.0,5.0,2500.0,2100000
honda,city,2018,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,145.0,5.0,4600.0,925000
honda,city,2013,86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,146.0,5.0,4800.0,425000
maruti,vitara,2018,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,200.0,5.0,1750.0,819999
maruti,alto,2018,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,90.0,5.0,3500.0,390000
toyota,fortuner,2014,77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,343.0,7.0,3400.0,1500000
toyota,innova,2013,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,200.0,7.0,3400.0,700000
mercedes-benz,b,2014,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,200.0,5.0,4000.0,1450000
honda,amaze,2015,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,200.0,5.0,1750.0,425000
mitsubishi,pajero,2013,151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,400.0,7.0,2500.0,1090000
honda,city,2015,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,200.0,5.0,1750.0,600000
honda,jazz,2015,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,200.0,5.0,1750.0,525000
toyota,innova,2016,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,360.0,7.0,3400.0,1650000
toyota,innova,2016,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,200.0,7.0,3600.0,950000
audi,a6,2013,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,380.0,5.0,2500.0,1750000
audi,a6,2013,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,400.0,5.0,3000.0,1689999
mercedes-benz,new,2013,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,400.0,5.0,2800.0,1425000
tata,manza,2011,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,200.0,5.0,3000.0,265000
hyundai,i10,2011,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,111.7,5.0,4000.0,190000
hyundai,i20,2013,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,219.6,5.0,2750.0,425000
maruti,swift,2015,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,190.0,5.0,2000.0,630000
ford,figo,2017,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,112.0,5.0,4000.0,600000
maruti,baleno,2019,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115.0,5.0,4000.0,650000
volkswagen,ameo,2016,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,250.0,5.0,3000.0,540000
honda,city,2015,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,200.0,5.0,1750.0,630000
maruti,wagon,2018,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,90.0,5.0,3500.0,448000
volkswagen,ameo,2017,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,250.0,5.0,3000.0,500000
maruti,vitara,2019,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,200.0,5.0,1750.0,1025000
maruti,swift,2016,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,190.0,5.0,2000.0,630000
toyota,fortuner,2015,78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,343.0,7.0,3400.0,1700000
maruti,swift,2013,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,190.0,5.0,2000.0,450000
maruti,ertiga,2012,120000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,130.0,7.0,4000.0,450000
tata,indica,2003,70000,Diesel,Individual,Manual,First Owner,,,,,,,50000
volkswagen,vento,2013,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,250.0,5.0,2500.0,450000
toyota,innova,2016,140000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,200.0,8.0,3600.0,1200000
ford,ecosport,2015,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,205.0,5.0,3250.0,610000
bmw,x1,2016,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,280.0,5.0,4600.0,2500000
maruti,celerio,2017,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,90.0,5.0,3500.0,484999
datsun,go,2016,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,104.0,5.0,4000.0,275000
maruti,alto,2016,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,69.0,5.0,3500.0,315000
maruti,alto,2016,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,69.0,5.0,3500.0,275000
maruti,swift,2015,78000,Diesel,Dealer,Manual,First Owner,,,,,,,475000
hyundai,i10,2012,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,99.04,5.0,4500.0,290000
maruti,omni,2017,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,59.84,5.0,3000.0,280000
maruti,wagon,2010,44000,LPG,Dealer,Manual,First Owner,20.0,998.0,58.2,77.0,5.0,3500.0,225000
volkswagen,polo,2015,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,110.0,5.0,3750.0,455000
hyundai,i10,2015,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,99.04,5.0,4500.0,351000
